region	chr	start	end	arm	cyto	overlappedGeneNumDensity	genename	transcriptClass	geneType
chr2:60900000-60990000	chr2	60900000	60990000	2p	p16.1	3	REL,RNU4-51P,PUS10	coding,nonCoding	protein_coding,snRNA
chr11:33750000-33820000	chr11	33750000	33820000	11p	p13	4	LINC02721,FBXO3,FBXO3-DT,LINC02722	nonCoding,coding	lncRNA,protein_coding
chr1:154580000-154670000	chr1	154580000	154670000	1q	q21.3	2	ADAR,CHRNB2	nonCoding,coding	protein_coding
chr3:150740000-150820000	chr3	150740000	150820000	3q	q25.1	2	SIAH2-AS1,SIAH2	nonCoding,coding	lncRNA,protein_coding
chr9:118870000-119170000	chr9	118870000	119170000	9q	q33.1	1	BRINP1	coding	protein_coding
chr14:60050000-60220000	chr14	60050000	60220000	14q	q23.1	4	PCNX4,LRRC9,DHRS7,PCNX4-DT	coding,nonCoding	protein_coding,lncRNA
chr13:89680000-89770000	chr13	89680000	89770000	13q	q31.3			nonCoding	lncRNA
chr12:91670000-91990000	chr12	91670000	91990000	12q	q21.33			nonCoding	lncRNA
chr4:135660000-135790000	chr4	135660000	135790000	4q	q28.3				
chr11:11790000-12190000	chr11	11790000	12190000	11p	p15.3	6	DKK3,MICAL2,LINC02547,MIR6124,USP47,LINC02989	coding,nonCoding	protein_coding,lncRNA,miRNA
chr12:91680000-91990000	chr12	91680000	91990000	12q	q21.33	2	LINC01619,LINC02404	nonCoding	lncRNA
chr1:200550000-200730000	chr1	200550000	200730000	1q	q32.1			nonCoding,coding	lncRNA,protein_coding
chr14:30570000-30620000	chr14	30570000	30620000	14q	q12	2	G2E3-AS1,G2E3	nonCoding,coding	lncRNA,protein_coding
chr10:104090000-104260000	chr10	104090000	104260000	10q	q25.1	4	GSTO1,SFR1,MIR609,CFAP43	coding,nonCoding	protein_coding,miRNA
chr10:64860000-64930000	chr10	64860000	64930000	10q	q21.3	1	LINC02671	nonCoding	lncRNA
chr8:80850000-80960000	chr8	80850000	80960000	8q	q21.13	1	ZNF704	coding	protein_coding
chr13:24620000-24680000	chr13	24620000	24680000	13q	q12.12				
chr2:115540000-115720000	chr2	115540000	115720000	2q	q14.1	1	DPP10	coding,nonCoding	protein_coding
chr13:48560000-49010000	chr13	48560000	49010000	13q	q14.2	5	LINC01077,FNDC3A,CYSLTR2,RNU6-60P,LINC00462	nonCoding,coding	lncRNA,protein_coding,snRNA
chr1:107570000-108000000	chr1	107570000	108000000	1p	p13.3	3	MIR7852,VAV3-AS1,VAV3	nonCoding,coding	miRNA,lncRNA,protein_coding
chr20:55300000-55460000	chr20	55300000	55460000	20q	q13.2	2	LINC01440,LINC01441	nonCoding	lncRNA
chr2:62160000-62340000	chr2	62160000	62340000	2p	p15	3	B3GNT2,RN7SL51P,MIR5192	coding,nonCoding	protein_coding,misc_RNA,miRNA
chr5:159210000-159260000	chr5	159210000	159260000	5q	q33.3	2	RNF145,LINC01932	coding,nonCoding	protein_coding,lncRNA
chr7:148560000-148700000	chr7	148560000	148700000	7q	q36.1	2	CUL1,C7orf33	coding	protein_coding
chr5:55120000-55180000	chr5	55120000	55180000	5q	q11.2	5	GPX8,MIR449A,MIR449C,MIR449B,CDC20B	coding,nonCoding	protein_coding,miRNA
chr3:156440000-157120000	chr3	156440000	157120000	3q	q25.31	11	TIPARP-AS1,TIPARP,LINC00886,KCNAB1-AS1,LINC00881,SSR3,LINC00880,KCNAB1,RN7SKP177,LINC02029,LEKR1	nonCoding,coding	lncRNA,protein_coding,misc_RNA
chr6:25010000-25140000	chr6	25010000	25140000	6p	p22.3	2	RN7SL334P,RIPOR2	nonCoding,coding	misc_RNA,protein_coding
chr6:163900000-164240000	chr6	163900000	164240000	6q	q26				
chr1:200550000-200750000	chr1	200550000	200750000	1q	q32.1	4	CAMSAP2,DDX59-AS1,KIF14,DDX59	coding,nonCoding	protein_coding,lncRNA
chr4:148820000-149410000	chr4	148820000	149410000	4q	q31.23	4	LINC02430,LINC02355,RNU7-197P,IQCM	nonCoding,coding	lncRNA,snRNA,protein_coding
chr5:160360000-160500000	chr5	160360000	160500000	5q	q33.3	7	MIR3142HG,PTTG1,FAM200C,SLU7,MIR3142,MIR146A,C1QTNF2	nonCoding,coding	lncRNA,protein_coding,miRNA
chr14:84380000-84490000	chr14	84380000	84490000	14q	q31.2				
chr1:238310000-238370000	chr1	238310000	238370000	1q	q43	1	RNU6-725P	nonCoding	snRNA
chr6:83030000-83300000	chr6	83030000	83300000	6q	q14.1	5	DOP1A,ME1,PGM3,UBE3D,RWDD2A	coding,nonCoding	protein_coding
chr12:9770000-9940000	chr12	9770000	9940000	12p	p13.31	5	CLEC2A,LINC02470,KLRF2,CLEC2B,KLRF1	coding,nonCoding	protein_coding,lncRNA
chr1:222540000-222620000	chr1	222540000	222620000	1q	q41	4	TAF1A-AS1,TAF1A,MIA3,HHIPL2	nonCoding,coding	lncRNA,protein_coding
chr21:14390000-14540000	chr21	14390000	14540000	21q	q11.2	1	SAMSN1	coding,nonCoding	protein_coding
chr4:89120000-89290000	chr4	89120000	89290000	4q	q22.1	2	GPRIN3,RNU6-907P	coding,nonCoding	protein_coding,snRNA
chr2:183060000-183190000	chr2	183060000	183190000	2q	q32.1	2	DUSP19,NUP35	coding,nonCoding	protein_coding
chr6:36160000-36530000	chr6	36160000	36530000	6p	p21.31	11	ETV7,ETV7-AS1,PXT1,PNPLA1,KCTD20,STK38,RN7SL502P,RN7SL748P,BNIP5,BRPF3,BRPF3-AS1	coding,nonCoding	protein_coding,lncRNA,misc_RNA
chr6:159830000-160000000	chr6	159830000	160000000	6q	q25.3	2	IGF2R,MAS1	coding,nonCoding	protein_coding
chr6:157320000-157490000	chr6	157320000	157490000	6q	q25.3	3	TMEM242-DT,ZDHHC14,TMEM242	nonCoding,coding	lncRNA,protein_coding
chr2:213090000-213300000	chr2	213090000	213300000	2q	q34	4	IKZF2,SPAG16,LINC01953,SPAG16-DT	coding,nonCoding	protein_coding,lncRNA
chr6:161540000-162350000	chr6	161540000	162350000	6q	q26	1	PRKN	coding,nonCoding	protein_coding
chr2:200300000-200820000	chr2	200300000	200820000	2q	q33.1	10	RNU1-133P,BZW1-AS1,BZW1,AOX3P-AOX2P,KCTD18,LINC01792,RNY4P34,AOX1,SGO2,SPATS2L	nonCoding,coding	snRNA,lncRNA,protein_coding,misc_RNA
chr5:25280000-25400000	chr5	25280000	25400000	5p	p14.1	1	LINC02211	nonCoding	lncRNA
chr2:174180000-174270000	chr2	174180000	174270000	2q	q31.1	2	OLA1,RN7SL65P	coding,nonCoding	protein_coding,misc_RNA
chr9:102970000-103060000	chr9	102970000	103060000	9q	q31.1	1	CYLC2	coding	protein_coding
chr14:20320000-20590000	chr14	20320000	20590000	14q	q11.2	15	RNASE11,RPPH1,RNASE11-AS1,KLHL33,SNORD126,RNASE9,CCNB1IP1,RNASE10,OSGEP,SNORA79B,TEP1,PIP4P1,PNP,PARP2,APEX1	coding,nonCoding	protein_coding,ribozyme,lncRNA,snoRNA
chr12:119990000-120070000	chr12	119990000	120070000	12q	q24.23	1	BICDL1	coding,nonCoding	protein_coding
chr12:45820000-46340000	chr12	45820000	46340000	12q	q12	4	SCAF11,RN7SL246P,ARID2,SLC38A1	coding,nonCoding	protein_coding,misc_RNA
chr3:117010000-117220000	chr3	117010000	117220000	3q	q13.31			coding,nonCoding	protein_coding
chr5:55320000-55570000	chr5	55320000	55570000	5q	q11.2	3	PLPP1,MIR5687,MTREX	coding,nonCoding	protein_coding,miRNA
chr6:105290000-105830000	chr6	105290000	105830000	6q	q21	2	PREP,LINC02836	coding,nonCoding	protein_coding,lncRNA
chr1:7960000-8420000	chr1	7960000	8420000	1p	p36.23	8	RERE,PARK7,SLC45A1,ERRFI1,RNU6-991P,LINC01714,RNU1-7P,ERRFI1-DT	coding,nonCoding	protein_coding,snRNA,lncRNA
chr2:46200000-46400000	chr2	46200000	46400000	2p	p21	2	LINC01820,EPAS1	nonCoding,coding	lncRNA,protein_coding
chr6:117420000-117560000	chr6	117420000	117560000	6q	q22.1	3	DCBLD1,RNU6-253P,ROS1	coding,nonCoding	protein_coding,snRNA
chr18:65990000-66020000	chr18	65990000	66020000	18q	q22.1				
chr8:114670000-114710000	chr8	114670000	114710000	8q	q23.3				
chr17:47150000-47390000	chr17	47150000	47390000	17q	q21.32	6	EFCAB13,MYL4,RNU7-186P,ITGB3,CDC27,EFCAB13-DT	coding,nonCoding	protein_coding,snRNA,lncRNA
chr1:86890000-86970000	chr1	86890000	86970000	1p	p22.3	2	SELENOF,HS2ST1	coding	protein_coding
chr10:110160000-110210000	chr10	110160000	110210000	10q	q25.2	1	MXI1	coding	protein_coding
chr6:127930000-128020000	chr6	127930000	128020000	6q	q22.33	1	PTPRK	coding,nonCoding	protein_coding
chr15:23440000-23710000	chr15	23440000	23710000	15q	q11.2	5	NDN,MKRN3,MAGEL2,MIR4508,GOLGA6L2	coding,nonCoding	protein_coding,miRNA
chr10:22320000-22370000	chr10	22320000	22370000	10p	p12.2	4	COMMD3,SPAG6,BMI1,COMMD3-BMI1	nonCoding,coding	protein_coding
chr4:101320000-101630000	chr4	101320000	101630000	4q	q24	3	FLJ20021,MIR1255A,PPP3CA	coding,nonCoding	protein_coding,lncRNA,miRNA
chr2:64450000-64630000	chr2	64450000	64630000	2p	p14	8	LINC02579,LGALSL-DT,RNU6-100P,MIR4434,AFTPH,LGALSL,LINC01805,AFTPH-DT	nonCoding,coding	lncRNA,snRNA,miRNA,protein_coding
chr15:83030000-83090000	chr15	83030000	83090000	15q	q25.2	2	BTBD1,MIR4515	coding,nonCoding	protein_coding,miRNA
chr4:166800000-166930000	chr4	166800000	166930000	4q	q32.3	1	SPOCK3	coding	protein_coding
chr8:1020000-1130000	chr8	1020000	1130000	8p	p23.3	1	DLGAP2	coding,nonCoding	protein_coding
chr3:107890000-108110000	chr3	107890000	108110000	3q	q13.12	2	LINC00636,CD47	nonCoding,coding	lncRNA,protein_coding
