Region	BivProm	HET	OpenC	Prom	ReprPC	ReprPC and openC	TSS	Tx	TxEnh	TxEx	TxWk	WkEnh	ZNF	artifacts	enhancers	quiescent
chr9:24090001-24100000	0.0	16.001600160016004	6.0006000600060005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.00320032003201	0.0	12.001200120012001	2.0002000200020005	31.993199319931993
chr13:77620001-77630000	0.0	62.006200620062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.99379937993799	0.0	0.0
chr6:25100001-25110000	0.0	10.00100010001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.990799079907991	0.0	50.00500050005	0.0	32.00320032003201
chr11:57070001-57080000	0.0	28.002800280028	20.00200020002	0.0	4.000400040004001	0.0	0.0	0.0	0.0	0.0	0.0	5.990599059905991	0.0	0.0	18.001800180018	24.002400240024002
chr18:40170001-40180000	0.0	0.0	24.002400240024002	0.0	8.000800080008002	0.0	0.0	0.0	0.0	0.0	0.0	2.0002000200020005	0.0	9.99099909990999	4.000400040004001	52.00520052005201
chr9:9960001-9970000	0.0	14.001400140014	0.0	0.0	2.0002000200020005	0.0	0.0	0.0	0.0	0.0	0.0	11.991199119911991	0.0	0.0	8.000800080008002	64.00640064006402
chr15:70030001-70040000	0.0	26.002600260026004	2.0002000200020005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.990799079907991	0.0	0.0	2.0002000200020005	62.006200620062
chr7:5360001-5370000	0.0	89.99899989999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.00100010001	0.0	0.0
chr10:29010001-29020000	0.0	63.996399639964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.001600160016004	0.0	20.00200020002	0.0	0.0
chr13:3860001-3870000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.99199919991999	0.0	0.0	80.00800080008	0.0
chr13:31620001-31630000	71.99719971997199	0.0	0.0	0.0	4.000400040004001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11:6480001-6490000	0.0	0.0	39.993999399939995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.00400040004	0.0	0.0	16.001600160016004	4.000400040004001
chr8:14120001-14130000	0.0	20.00200020002	15.991599159915992	0.0	26.002600260026004	0.0	0.0	0.0	0.0	0.0	0.0	10.00100010001	0.0	0.0	0.0	28.002800280028
chr11:77250001-77260000	0.0	0.0	6.0006000600060005	0.0	0.0	0.0	0.0	2.0002000200020005	13.991399139913991	0.0	44.00440044004401	4.000400040004001	0.0	18.001800180018	4.000400040004001	8.000800080008002
chr12:17060001-17070000	0.0	0.0	20.00200020002	0.0	22.002200220022004	0.0	0.0	0.0	0.0	0.0	0.0	26.002600260026004	0.0	0.0	22.002200220022004	9.99099909990999
chr11:33950001-33960000	0.0	4.000400040004001	10.00100010001	0.0	30.003000300030003	0.0	0.0	0.0	0.0	0.0	0.0	32.00320032003201	0.0	4.000400040004001	6.0006000600060005	13.991399139913991
chr17:52570001-52580000	0.0	24.002400240024002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9903990399039904	0.0	0.0	4.000400040004001	68.006800680068
chr11:30130001-30140000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.997599759976	0.0	24.002400240024002	0.0	0.0	0.0	0.0	0.0	0.0
chr4:43160001-43170000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.000400040004001	0.0	0.0	22.002200220022004	52.00520052005201	0.0	0.0	7.990799079907991	14.001400140014
chr3:49610001-49620000	0.0	46.004600460046	5.990599059905991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0002000200020005	0.0	46.004600460046
chr9:93820001-93830000	0.0	17.99179917991799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.00820082008201
chr7:13160001-13170000	0.0	48.004800480048004	0.0	0.0	2.0002000200020005	0.0	0.0	0.0	0.0	0.0	0.0	2.0002000200020005	0.0	4.000400040004001	0.0	43.99439943994399
chr11:18850001-18860000	0.0	0.0	0.0	0.0	17.99179917991799	0.0	0.0	0.0	0.0	0.0	0.0	20.00200020002	0.0	0.0	0.0	62.006200620062
chr11:32460001-32470000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.006200620062	0.0	37.99379937993799	0.0	0.0	0.0	0.0	0.0
chr10:14300001-14310000	0.0	8.000800080008002	10.00100010001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0006000600060005	0.0	0.0	0.0	75.997599759976
chr1:76030001-76040000	0.0	10.00100010001	6.0006000600060005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.992799279927993	0.0	0.0	26.002600260026004	30.003000300030003
chr11:114890001-114900000	0.0	0.0	2.0002000200020005	2.0002000200020005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.00580058005801	0.0	0.0	37.99379937993799	0.0
