region	chr	start	end	arm	cyto	overlappedGeneNumDensity	genename	transcriptClass	geneType
chr1:192550000-192620000	chr1	192550000	192620000	1q	q31.2	1	RGS1	nonCoding,coding	protein_coding
chr12:64410000-64490000	chr12	64410000	64490000	12q	q14.2	2	TBK1,XPOT	nonCoding,coding	protein_coding
chr12:45810000-46050000	chr12	45810000	46050000	12q	q12	3	RN7SL246P,ARID2,SCAF11	nonCoding,coding	misc_RNA,protein_coding
chr17:37560000-37630000	chr17	37560000	37630000	17q	q12	3	MIR378J,DDX52,SYNRG	nonCoding,coding	miRNA,protein_coding
chr11:117450000-117480000	chr11	117450000	117480000	11q	q23.3			coding	protein_coding
chr15:43290000-43400000	chr15	43290000	43400000	15q	q15.2	5	RN7SL487P,TUBGCP4,LCMT2,ZSCAN29,TGM7	nonCoding,coding	misc_RNA,protein_coding
chr1:172540000-172590000	chr1	172540000	172590000	1q	q24.3	1	SUCO	coding,nonCoding	protein_coding
chr5:150670000-150740000	chr5	150670000	150740000	5q	q33.1	2	MYOZ3-AS1,MYOZ3	coding,nonCoding	protein_coding,lncRNA
chr2:159840000-159950000	chr2	159840000	159950000	2q	q24.2	3	LY75-CD302,LY75,PLA2R1	coding,nonCoding	protein_coding
chr12:91670000-91990000	chr12	91670000	91990000	12q	q21.33	2	LINC01619,LINC02404	nonCoding	lncRNA
chr8:143280000-143410000	chr8	143280000	143410000	8q	q24.3	6	RNU6-220P,RHPN1-AS1,MINCR,RHPN1,ZNF696,TOP1MT	nonCoding,coding	snRNA,lncRNA,protein_coding
chr4:82980000-83010000	chr4	82980000	83010000	4q	q21.22	2	LIN54,RNU6-615P	coding,nonCoding	protein_coding,snRNA
chr21:15660000-15760000	chr21	15660000	15760000	21q	q21.1	1	USP25	coding,nonCoding	protein_coding
chr2:214780000-214850000	chr2	214780000	214850000	2q	q35	3	SNHG31,BARD1,SNORA70I	nonCoding,coding	lncRNA,protein_coding,snoRNA
chr9:3820000-3860000	chr9	3820000	3860000	9p	p24.2	1	GLIS3	coding,nonCoding	protein_coding
chr6:137260000-137300000	chr6	137260000	137300000	6q	q23.3				
chr1:160720000-160780000	chr1	160720000	160780000	1q	q23.3	1	SLAMF7	coding,nonCoding	protein_coding
chr7:12180000-12280000	chr7	12180000	12280000	7p	p21.3	1	TMEM106B	coding,nonCoding	protein_coding
chr2:127620000-127660000	chr2	127620000	127660000	2q	q14.3	3	LIMS2,GPR17,MYO7B	coding,nonCoding	protein_coding
chr5:56950000-56980000	chr5	56950000	56980000	5q	q11.2	1	MIER3	coding,nonCoding	protein_coding
chr12:91370000-91550000	chr12	91370000	91550000	12q	q21.33				
chr16:48940000-48980000	chr16	48940000	48980000	16q	q12.1				
chr6:118840000-118870000	chr6	118840000	118870000	6q	q22.31	1	MCM9	coding,nonCoding	protein_coding
chr5:112680000-112910000	chr5	112680000	112910000	5q	q22.2	4	SRP19,APC,REEP5,RNU6-482P	coding,nonCoding	protein_coding,lncRNA,snRNA
chr6:16770000-16820000	chr6	16770000	16820000	6p	p22.3				
chr1:84960000-85000000	chr1	84960000	85000000	1p	p22.3	1	MCOLN2	coding,nonCoding	protein_coding
chr14:44890000-45100000	chr14	44890000	45100000	14q	q21.2	5	PRPF39,C14orf28,KLHL28,TOGARAM1,PRPF39-DT	coding,nonCoding	protein_coding,lncRNA,snoRNA
chr17:33830000-33860000	chr17	33830000	33860000	17q	q12	1	ASIC2	coding	protein_coding
chr11:104610000-104700000	chr11	104610000	104700000	11q	q22.3				
chr18:48200000-48250000	chr18	48200000	48250000	18q	q21.1	1	ZBTB7C	coding	protein_coding
chr6:152990000-153090000	chr6	152990000	153090000	6q	q25.2	2	MTRF1L,RGS17	coding	protein_coding
chr5:54970000-55060000	chr5	54970000	55060000	5q	q11.2	2	ESM1,GZMK	coding,nonCoding	protein_coding
chr21:40750000-40800000	chr21	40750000	40800000	21q	q22.2	1	DSCAM	coding	protein_coding
chr8:120410000-120490000	chr8	120410000	120490000	8q	q24.12	2	MTBP,MRPL13	nonCoding,coding	protein_coding
chr5:131580000-131750000	chr5	131580000	131750000	5q	q31.1	2	RAPGEF6,FNIP1	coding,nonCoding	protein_coding
chr10:34660000-34840000	chr10	34660000	34840000	10p	p11.21	2	PARD3-DT,PARD3	nonCoding,coding	lncRNA,protein_coding
chr1:207260000-207420000	chr1	207260000	207420000	1q	q32.2			nonCoding,coding	lncRNA,protein_coding
chr5:178200000-178930000	chr5	178200000	178930000	5q	q35.3	12	RNU1-39P,CLK4,RN7SKP70,ZFP2,HNRNPAB,RN7SL646P,PHYKPL,MSANTD5,AACSP1,ZNF354A,COL23A1,ZNF354B	nonCoding,coding	snRNA,protein_coding,misc_RNA,lncRNA
chr8:28870000-29040000	chr8	28870000	29040000	8p	p21.1	2	INTS9,HMBOX1	coding,nonCoding	protein_coding,lncRNA
chr10:9900000-10050000	chr10	9900000	10050000	10p	p14				
chr10:22500000-22610000	chr10	22500000	22610000	10p	p12.2	1	PIP4K2A	coding	protein_coding
chr21:33940000-34100000	chr21	33940000	34100000	21q	q22.11			nonCoding,coding	lncRNA,protein_coding
chr7:36670000-36740000	chr7	36670000	36740000	7p	p14.2	1	AOAH	coding,nonCoding	protein_coding
chr10:110160000-110200000	chr10	110160000	110200000	10q	q25.2				
chr1:183220000-183290000	chr1	183220000	183290000	1q	q25.3	2	NMNAT2,LAMC2	coding	protein_coding
chr9:27520000-27560000	chr9	27520000	27560000	9p	p21.2	3	IFNK,MOB3B,C9orf72	coding	protein_coding
chr2:186120000-186320000	chr2	186120000	186320000	2q	q32.1			nonCoding	lncRNA
chr13:77360000-77630000	chr13	77360000	77630000	13q	q22.3	3	RNY3P7,SCEL-AS1,SCEL	nonCoding,coding	misc_RNA,lncRNA,protein_coding
chr9:130950000-131100000	chr9	130950000	131100000	9q	q34.12	2	LAMC3,AIF1L	coding,nonCoding	protein_coding
chr15:96120000-96130000	chr15	96120000	96130000	15q	q26.2	1	NR2F2-AS1	nonCoding	lncRNA
chr19:14590000-14600000	chr19	14590000	14600000	19p	p13.12	1	CLEC17A	coding	protein_coding
chr1:212260000-212370000	chr1	212260000	212370000	1q	q32.3	4	SNORA16B,PACC1,PPP2R5A,LINC02608	nonCoding,coding	snoRNA,protein_coding,lncRNA
chr15:57950000-57990000	chr15	57950000	57990000	15q	q21.3	1	ALDH1A2	coding,nonCoding	protein_coding
chr2:107690000-107780000	chr2	107690000	107780000	2q	q12.3	1	GACAT1	nonCoding	lncRNA
chr5:150700000-150740000	chr5	150700000	150740000	5q	q33.1	2	DCTN4,RBM22	coding,nonCoding	protein_coding
chr2:27810000-28010000	chr2	27810000	28010000	2p	p23.2	3	RBKS,BABAM2,MIR4263	coding,nonCoding	protein_coding,miRNA
chr8:46850000-46900000	chr8	46850000	46900000	8q	q11.1	1	LINC00293	nonCoding	lncRNA
chr3:25710000-25820000	chr3	25710000	25820000	3p	p24.2	2	OXSM,NGLY1	coding,nonCoding	protein_coding
chr11:11790000-11850000	chr11	11790000	11850000	11p	p15.3	1	USP47	coding,nonCoding	protein_coding
chr4:17760000-18020000	chr4	17760000	18020000	4p	p15.31	4	NCAPG,LCORL,FAM184B,DCAF16	coding,nonCoding	protein_coding
chr3:87920000-88140000	chr3	87920000	88140000	3p	p11.1	3	HTR1F,ZNF654,CGGBP1	coding,nonCoding	protein_coding
chr17:61770000-62070000	chr17	61770000	62070000	17q	q23.2	4	BRIP1,MED13,INTS2,RN7SL800P	coding,nonCoding	protein_coding,misc_RNA
chr1:88620000-88790000	chr1	88620000	88790000	1p	p22.2	2	PKN2,PKN2-AS1	coding,nonCoding	protein_coding,lncRNA
chr16:86270000-86390000	chr16	86270000	86390000	16q	q24.1	3	LINC02135,LINC00917,LINC01081	nonCoding	lncRNA
chr10:103980000-104030000	chr10	103980000	104030000	10q	q24.33	1	SLK	coding	protein_coding
chr4:80470000-80610000	chr4	80470000	80610000	4q	q21.21	1	CFAP299	coding	protein_coding
chr15:63620000-63680000	chr15	63620000	63680000	15q	q22.31	1	HERC1	coding,nonCoding	protein_coding
chr7:105960000-106020000	chr7	105960000	106020000	7q	q22.3	1	CDHR3	coding,nonCoding	protein_coding
chr13:79340000-79540000	chr13	79340000	79540000	13q	q31.1	4	RBM26-AS1,NDFIP2-AS1,RBM26,NDFIP2	nonCoding,coding	lncRNA,protein_coding
chr10:92620000-92680000	chr10	92620000	92680000	10q	q23.33	2	RN7SL644P,KIF11	nonCoding,coding	misc_RNA,protein_coding
chr10:124920000-124960000	chr10	124920000	124960000	10q	q26.13	1	ZRANB1	coding	protein_coding
chr18:36050000-36110000	chr18	36050000	36110000	18q	q12.2	2	RPRD1A,SLC39A6	coding,nonCoding	protein_coding
chr4:53920000-54100000	chr4	53920000	54100000	4q	q12	1	CHIC2	coding,nonCoding	protein_coding
chr4:44640000-44710000	chr4	44640000	44710000	4p	p12			coding,nonCoding	protein_coding
chr4:44640000-44720000	chr4	44640000	44720000	4p	p12	3	GUF1,GNPDA2,YIPF7	coding,nonCoding	protein_coding
chr1:99800000-100290000	chr1	99800000	100290000	1p	p21.2	12	SLC35A3,MFSD14A,RTCA,RTCA-AS1,RNU6-750P,AGL,RNU6-1318P,LRRC39,SASS6,MIR553,TRMT13,DBT	coding,nonCoding	protein_coding,lncRNA,snRNA,miRNA
chr2:213090000-213160000	chr2	213090000	213160000	2q	q34	2	IKZF2,LINC01953	coding,nonCoding	protein_coding,lncRNA
chr8:126270000-126310000	chr8	126270000	126310000	8q	q24.13			nonCoding	lncRNA
chr12:89870000-90090000	chr12	89870000	90090000	12q	q21.33	1	LINC02399	nonCoding	lncRNA
chr3:188020000-188060000	chr3	188020000	188060000	3q	q27.3				
chr2:20290000-20440000	chr2	20290000	20440000	2p	p24.1	1	PUM2	coding	protein_coding
chr11:117410000-117500000	chr11	117410000	117500000	11q	q23.3	2	DSCAML1,CEP164	coding,nonCoding	protein_coding
chr20:63490000-63500000	chr20	63490000	63500000	20q	q13.33	1	EEF1A2	coding,nonCoding	protein_coding
chr5:133850000-133940000	chr5	133850000	133940000	5q	q31.1	1	WSPAR	nonCoding	lncRNA
chr5:87410000-87430000	chr5	87410000	87430000	5q	q14.3	2	CCNH,RNU6-727P	coding,nonCoding	protein_coding,snRNA
chr14:56560000-56630000	chr14	56560000	56630000	14q	q22.3	1	TMEM260	coding,nonCoding	protein_coding
chr1:117460000-117510000	chr1	117460000	117510000	1p	p12	1	MAN1A2	coding	protein_coding
chr7:136230000-136300000	chr7	136230000	136300000	7q	q33				
chr19:50230000-50300000	chr19	50230000	50300000	19q	q13.33			coding,nonCoding	protein_coding
chr6:127930000-128010000	chr6	127930000	128010000	6q	q22.33	1	PTPRK	coding,nonCoding	protein_coding
chr2:174090000-174260000	chr2	174090000	174260000	2q	q31.1	2	OLA1,RN7SL65P	coding,nonCoding	protein_coding,misc_RNA
chr11:110240000-110280000	chr11	110240000	110280000	11q	q22.3	1	RDX	coding,nonCoding	protein_coding
chr21:33950000-34100000	chr21	33950000	34100000	21q	q22.11	3	SLC5A3,MRPS6,LINC00649	coding,nonCoding	protein_coding,lncRNA
chr6:106200000-106240000	chr6	106200000	106240000	6q	q21	1	ATG5	coding	protein_coding
chr12:76380000-76390000	chr12	76380000	76390000	12q	q21.2	1	OSBPL8	coding,nonCoding	protein_coding
chr8:41440000-41510000	chr8	41440000	41510000	8p	p11.21	1	GOLGA7	coding,nonCoding	protein_coding,lncRNA
chr11:128240000-128290000	chr11	128240000	128290000	11q	q24.3	1	LINC02098	nonCoding	lncRNA
chr12:42380000-42450000	chr12	42380000	42450000	12q	q12	2	PPHLN1,RNU6-249P	coding,nonCoding	protein_coding,snRNA
chr3:172730000-172830000	chr3	172730000	172830000	3q	q26.31	2	RNU4-4P,ECT2	nonCoding,coding	snRNA,protein_coding
chr2:154520000-154650000	chr2	154520000	154650000	2q	q24.1				
chr10:22170000-22240000	chr10	22170000	22240000	10p	p12.31	1	EBLN1	coding	protein_coding
chr13:48330000-48410000	chr13	48330000	48410000	13q	q14.2	2	LPAR6,RB1	coding,nonCoding	protein_coding
chr13:102540000-102880000	chr13	102540000	102880000	13q	q33.1			coding,nonCoding	protein_coding,lncRNA
chr1:113650000-113880000	chr1	113650000	113880000	1p	p13.2	6	RSBN1,PTPN22,MAGI3,BCL2L15,PHTF1,AP4B1-AS1	coding,nonCoding	protein_coding,lncRNA
chr13:48500000-48980000	chr13	48500000	48980000	13q	q14.2	5	FNDC3A,LINC01077,RCBTB2,CYSLTR2,LINC00462	coding,nonCoding	protein_coding,lncRNA
chr1:86700000-86730000	chr1	86700000	86730000	1p	p22.3	2	CLCA4-AS1,SH3GLB1	nonCoding,coding	lncRNA,protein_coding
chr1:96700000-96780000	chr1	96700000	96780000	1p	p21.3	1	PTBP2	coding,nonCoding	protein_coding
chr20:35820000-35830000	chr20	35820000	35830000	20q	q11.23	1	PHF20	coding,nonCoding	protein_coding
chr10:93150000-93360000	chr10	93150000	93360000	10q	q23.33	1	MYOF	coding,nonCoding	protein_coding
chr5:179110000-179260000	chr5	179110000	179260000	5q	q35.3	1	ADAMTS2	coding,nonCoding	protein_coding
chr6:35830000-35910000	chr6	35830000	35910000	6p	p21.31	1	SRPK1	coding,nonCoding	protein_coding
chr11:21130000-21220000	chr11	21130000	21220000	11p	p15.1	1	NELL1	coding,nonCoding	protein_coding
chr12:113450000-113500000	chr12	113450000	113500000	12q	q24.13	2	LHX5,LHX5-AS1	coding,nonCoding	protein_coding,lncRNA
chr5:16700000-17240000	chr5	16700000	17240000	5p	p15.1	4	MYO10,BASP1-AS1,BASP1,RNU6-660P	coding,nonCoding	protein_coding,lncRNA,snRNA
chr22:41890000-41900000	chr22	41890000	41900000	22q	q13.2	1	SREBF2	coding,nonCoding	protein_coding
chr3:15680000-15860000	chr3	15680000	15860000	3p	p25.1	4	RN7SL4P,BTD,MIR3134,ANKRD28	nonCoding,coding	misc_RNA,protein_coding,miRNA
chr6:145790000-145960000	chr6	145790000	145960000	6q	q24.3	3	SHPRH,EPM2A-DT,FBXO30	coding,nonCoding	protein_coding,lncRNA
chr18:10500000-10540000	chr18	10500000	10540000	18p	p11.22	1	NAPG	coding,nonCoding	protein_coding
chr6:43550000-43620000	chr6	43550000	43620000	6p	p21.1	3	POLH,XPO5,POLR1C	nonCoding,coding	lncRNA,protein_coding
chr6:162190000-162340000	chr6	162190000	162340000	6q	q26	1	PRKN	coding,nonCoding	protein_coding
chr7:23070000-23160000	chr7	23070000	23160000	7p	p15.3	2	KLHL7,KLHL7-DT	coding,nonCoding	protein_coding,lncRNA
chr15:57290000-57580000	chr15	57290000	57580000	15q	q21.3	5	LINC00926,LINC01413,RNU6-844P,CGNL1,TCF12	nonCoding,coding	lncRNA,snRNA,protein_coding
chr15:79490000-79530000	chr15	79490000	79530000	15q	q25.1				
chr1:97820000-98050000	chr1	97820000	98050000	1p	p21.3	4	MIR137,MIR2682,MIR137HG,DPYD	nonCoding,coding	miRNA,lncRNA,protein_coding
chr7:87750000-87800000	chr7	87750000	87800000	7q	q21.12	1	RUNDC3B	coding,nonCoding	protein_coding
chr1:175190000-175320000	chr1	175190000	175320000	1q	q25.1	2	KIAA0040,TNR	coding	protein_coding
chr11:78840000-78930000	chr11	78840000	78930000	11q	q14.1	1	TENM4	coding,nonCoding	protein_coding
chr11:70500000-70700000	chr11	70500000	70700000	11q	q13.3	2	SHANK2,SHANK2-AS1	coding,nonCoding	protein_coding,lncRNA
chr10:104090000-104250000	chr10	104090000	104250000	10q	q25.1	3	CFAP43,SFR1,MIR609	coding,nonCoding	protein_coding,miRNA
chr14:50460000-50810000	chr14	50460000	50810000	14q	q22.1	5	RN7SL452P,SAV1,MAP4K5,NIN,ATL1	nonCoding,coding	misc_RNA,protein_coding
chr12:52910000-52940000	chr12	52910000	52940000	12q	q13.13	1	KRT8	coding,nonCoding	protein_coding
chr6:135380000-135490000	chr6	135380000	135490000	6q	q23.3	1	AHI1	coding,nonCoding	protein_coding
chr4:121060000-121190000	chr4	121060000	121190000	4q	q27	4	NDNF-AS1,TNIP3,NDNF,RN7SKP137	nonCoding,coding	lncRNA,protein_coding,misc_RNA
chr13:26090000-26280000	chr13	26090000	26280000	13q	q12.13	2	CDK8,RNF6	coding,nonCoding	protein_coding
chr11:114130000-114340000	chr11	114130000	114340000	11q	q23.2	2	NNMT,ZBTB16	coding,nonCoding	protein_coding
chr10:123930000-124100000	chr10	123930000	124100000	10q	q26.13	2	CHST15,CPXM2	coding	protein_coding
chr3:2170000-2190000	chr3	2170000	2190000	3p	p26.3	1	CNTN4	coding,nonCoding	protein_coding
chr1:207210000-207400000	chr1	207210000	207400000	1q	q32.2	2	LINC02942,CD55	nonCoding,coding	lncRNA,protein_coding
chr17:6050000-6300000	chr17	6050000	6300000	17p	p13.2	2	RNU6-1264P,WSCD1	nonCoding,coding	snRNA,protein_coding
chr13:92710000-92740000	chr13	92710000	92740000	13q	q31.3	2	GPC5-AS1,GPC5	nonCoding,coding	lncRNA,protein_coding
chr2:236020000-236150000	chr2	236020000	236150000	2q	q37.2	3	RN7SL204P,RNU7-127P,AGAP1	nonCoding,coding	misc_RNA,snRNA,protein_coding
chr4:143110000-143220000	chr4	143110000	143220000	4q	q31.21	2	USP38-DT,USP38	nonCoding,coding	lncRNA,protein_coding
chr22:32670000-32870000	chr22	32670000	32870000	22q	q12.3	2	SYN3,TIMP3	coding,nonCoding	protein_coding
chr15:68030000-68070000	chr15	68030000	68070000	15q	q23	1	PIAS1	coding,nonCoding	protein_coding
chr7:90370000-90440000	chr7	90370000	90440000	7q	q21.13	2	CLDN12,GTPBP10	coding,nonCoding	protein_coding
chr2:60890000-60990000	chr2	60890000	60990000	2p	p16.1	3	REL,RNU4-51P,PUS10	coding,nonCoding	protein_coding,snRNA
